2025-02-17 08:50:31,147 [INFO] __main__: Inicializando...
2025-02-17 08:50:31,148 [INFO] __main__: Servidor rodando em 127.0.0.1:12345
2025-02-17 08:50:33,679 [INFO] __main__: [('127.0.0.1', 42420)] Conexão estabelecida.
2025-02-17 08:50:44,543 [INFO] __main__: [('127.0.0.1', 42420)] Mensagem recebida de 'guilherme': esta eh uma mensagem com criptografia
2025-02-17 08:53:59,889 [INFO] __main__: [('127.0.0.1', 40192)] Conexão estabelecida.
2025-02-17 08:54:06,078 [INFO] __main__: [('127.0.0.1', 40192)] Mensagem recebida de 'matheus': gay
2025-02-17 08:54:11,079 [INFO] __main__: [('127.0.0.1', 40192)] Mensagem recebida de 'matheus': a
2025-02-17 08:54:13,900 [INFO] __main__: [('127.0.0.1', 42420)] Mensagem recebida de 'guilherme': aaa
2025-02-17 08:54:40,525 [INFO] __main__: [('127.0.0.1', 57210)] Conexão estabelecida.
2025-02-17 08:54:47,087 [INFO] __main__: [('127.0.0.1', 57210)] Mensagem recebida de 'matheus': oi
2025-02-17 08:54:56,503 [INFO] __main__: [('127.0.0.1', 40192)] Mensagem recebida de 'matheus': oi
2025-02-17 08:55:11,093 [INFO] __main__: [('127.0.0.1', 57210)] Conexão encerrada.
2025-02-17 08:55:12,383 [INFO] __main__: [('127.0.0.1', 42420)] Conexão encerrada.
2025-02-17 08:55:13,538 [INFO] __main__: [('127.0.0.1', 40192)] Conexão encerrada.
